day,tip,size,time,smoker,total_bill,sex
Sat,5.132400556377509,4,Lunch,Yes,26.91641625678819,Male
Sat,2.721038163014174,4,Lunch,No,22.45424709417135,Male
Sun,4.711956397066498,1,Lunch,Yes,19.778935182242208,Female
Thur,4.013251137673459,4,Dinner,Yes,21.99451701633165,Male
Sun,6.028237079217838,3,Lunch,No,4.809292103007893,Female
Sun,7.200409252961231,1,Dinner,No,20.183906592282934,Male
Sun,3.818527731614742,3,Dinner,Yes,25.39824071266179,Female
Sun,5.403424272441724,2,Dinner,No,-0.8220790402174707,Male
Sat,3.5359882436234793,1,Lunch,No,7.770841159441165,Female
Sun,5.3144245575383575,3,Dinner,Yes,17.494413476223578,Female
Sat,6.01273542842945,3,Lunch,No,8.304325780808457,Female
Thur,4.230936185159449,2,Lunch,Yes,34.394047183660206,Male
Sat,5.16104720792409,3,Lunch,No,21.872867333976593,Female
Sat,4.142227770951589,4,Dinner,No,30.414026037166167,Female
Sat,4.933407624924079,2,Dinner,No,20.39352262310644,Male
Sat,2.673087511737195,2,Dinner,Yes,7.225660152538852,Female
Sun,3.4705176703736167,1,Lunch,No,11.51570813694171,Female
Sat,8.329989842321528,6,Lunch,No,31.373982357121243,Male
Thur,4.637553160187159,4,Lunch,Yes,18.365132468286788,Female
Fri,4.36142094964979,3,Lunch,No,28.098618988426246,Female
Fri,5.724382124250482,5,Dinner,No,23.463832422612978,Female
Thur,5.01854906561268,5,Dinner,No,20.459382058762444,Female
Sat,6.476941366417671,3,Lunch,Yes,24.22989599427499,Female
Thur,5.680298970540363,3,Dinner,No,22.74182382795079,Male
Fri,3.6681985521273823,4,Dinner,No,16.883278169083198,Female
Sun,3.7876738732929223,5,Dinner,Yes,13.52522962814616,Male
Fri,7.019826847936552,3,Dinner,Yes,15.674626998355219,Male
Sun,6.146119927862864,2,Dinner,Yes,31.678228169719052,Female
Sun,6.062703390612872,4,Dinner,Yes,13.72166497760962,Male
Sun,7.99476600542423,3,Dinner,No,18.496966628084284,Female
Fri,5.6259015082675905,1,Lunch,Yes,40.81763831000257,Male
Sat,5.176804419321154,3,Dinner,No,7.129936024185639,Female
Sun,4.337789441953334,2,Dinner,No,16.4611288027092,Female
Sat,5.138406547682861,1,Dinner,No,28.73368207810784,Female
Thur,3.1200314473562365,2,Lunch,Yes,25.699564380452042,Male
Thur,6.064977588473857,2,Dinner,Yes,20.58074364526299,Female
Thur,3.252083605522969,4,Dinner,No,23.416658306254572,Female
Sat,4.6476439575078565,4,Lunch,Yes,25.798667477462832,Male
Thur,6.068130304566125,1,Dinner,Yes,22.040351595917603,Male
Sat,4.224442612597231,2,Dinner,No,43.10037451508502,Female
Sat,6.530804717348735,2,Dinner,No,24.41417713385386,Female
Sat,4.794207121128609,3,Dinner,No,20.79261282132204,Female
Fri,4.55664537292548,1,Lunch,Yes,37.1026110568213,Male
Thur,6.0554579671412725,2,Lunch,Yes,19.349346272945464,Male
Sat,2.108630928361098,2,Lunch,Yes,27.204584425223764,Male
Sun,1.9883938562860992,4,Dinner,Yes,18.484683248945384,Male
Thur,3.642427898259089,2,Lunch,Yes,21.685251993533143,Male
Sat,6.294777709980484,3,Dinner,Yes,8.851822602612916,Male
Fri,4.622882405153586,6,Lunch,Yes,19.498195600022974,Female
Thur,7.2257812149537255,4,Lunch,No,23.222438855452218,Female
Sat,7.6680901244299555,3,Dinner,No,8.907053429371969,Male
Fri,5.195893564511321,4,Lunch,Yes,19.213942470042184,Male
Fri,3.963172276857226,3,Lunch,Yes,30.725829006474477,Female
Sun,7.852109748174184,2,Dinner,No,20.785312501588393,Male
Sat,4.399948838970663,2,Dinner,Yes,35.973259732813105,Female
Fri,2.9616349513395988,2,Lunch,No,26.630298616169778,Male
Fri,4.256830682301524,4,Lunch,No,30.240853213171135,Male
Sat,3.6588269062088066,3,Dinner,No,27.12464527392672,Male
Sun,5.026882212176916,4,Dinner,No,17.550006051827427,Female
Fri,4.642644833880441,2,Dinner,Yes,17.463384318003243,Male
Thur,6.9260988952665805,3,Lunch,No,33.116018956019154,Male
Fri,1.481641508913356,3,Lunch,No,19.286610819612346,Female
Sun,5.7896309078164645,2,Dinner,No,14.993930910366611,Female
Thur,2.828910195716257,1,Lunch,Yes,9.306951498835152,Male
Thur,6.240150960915034,3,Lunch,Yes,24.56805938793916,Male
Sat,4.193248853817762,1,Lunch,Yes,8.381074781164273,Female
Sun,4.835095847239005,2,Dinner,Yes,16.743258920322955,Female
Sat,5.419601508322401,1,Lunch,Yes,40.39110277323785,Female
Sun,6.11018088549511,4,Dinner,Yes,16.82526691058296,Male
Fri,4.841122737096992,2,Dinner,Yes,26.064798673660025,Female
Sun,5.0687600668243356,4,Lunch,Yes,44.288838519665504,Female
Thur,6.252760288695029,3,Lunch,Yes,20.714013678410012,Female
Fri,7.1612175889795076,2,Lunch,Yes,22.506995654892705,Female
Thur,5.321416453843931,3,Dinner,No,16.10399042031076,Male
Fri,4.187306407328782,2,Dinner,No,18.094528494562823,Male
Fri,3.5421645236811297,4,Dinner,Yes,28.439143201128914,Female
Sat,5.506259336089222,2,Dinner,No,8.052585069235754,Male
Thur,5.007900124834361,1,Lunch,Yes,10.228529937398328,Female
Sat,4.635265325031437,3,Lunch,Yes,10.71396454815611,Male
Thur,3.8184229580911095,3,Lunch,Yes,28.278409911167895,Female
Sun,4.4005841389931675,4,Lunch,Yes,17.6784212705243,Female
Sun,6.049208441537559,1,Dinner,No,25.977649355274036,Female
Thur,4.536654393629233,3,Lunch,No,4.49083843395605,Female
Sun,3.612850553051306,3,Dinner,No,6.413236513389959,Male
Sat,4.097411424570632,3,Lunch,No,22.911592861290536,Female
Sun,5.166323598293259,1,Lunch,Yes,23.509026454955887,Female
Thur,6.550242661261557,3,Dinner,No,25.884913012216604,Female
Sun,4.835720398668197,2,Lunch,Yes,21.141853175839756,Female
Sun,3.4297949965170798,2,Dinner,Yes,13.66254437020658,Male
Sun,4.104109933335789,3,Dinner,Yes,13.063835948060365,Female
Sat,5.192721217909242,2,Lunch,Yes,11.187393835889116,Female
Sat,4.876537422214062,6,Dinner,No,20.997244284552036,Male
Sun,4.938553341289776,3,Dinner,No,28.19718121846915,Male
Fri,3.426266415122555,2,Dinner,No,21.74392163235689,Male
Sun,5.792468815864901,4,Dinner,Yes,31.257429221396613,Male
Sun,8.120234972152211,3,Lunch,Yes,24.603339498180613,Male
Fri,6.1365536276362995,3,Lunch,Yes,23.33790723822509,Female
Thur,2.95447178974474,1,Lunch,No,16.610724293051227,Male
Fri,3.6082592026394096,6,Lunch,Yes,20.040698164112335,Female
Sat,6.799591160739956,1,Lunch,No,24.886883359288596,Male
Thur,2.8480278471993308,1,Lunch,Yes,15.500345753848292,Male
Sat,3.555222240676592,2,Lunch,Yes,2.6499980721721705,Male
Fri,4.6759345154835525,2,Lunch,Yes,16.65485625117088,Female
Fri,6.8476321966983695,2,Lunch,Yes,25.6750027526087,Male
Thur,2.721688154625719,2,Dinner,No,13.109832503731962,Female
Sat,5.294869042587816,2,Dinner,Yes,16.03909821932129,Female
Sat,4.7585347426024,2,Lunch,Yes,23.948904554657865,Male
Fri,7.000362701673906,4,Lunch,No,34.18232579049646,Male
Thur,5.45699357890702,3,Lunch,Yes,34.53423473752751,Male
Sun,3.404332461406402,1,Dinner,No,16.955625887024194,Female
Sat,4.6191627633813015,3,Dinner,Yes,7.109843785571318,Female
Fri,4.903309989691072,3,Lunch,No,24.193372275482957,Female
Fri,4.836759115746041,2,Lunch,No,23.533100793481605,Male
Sat,1.7734226838979854,2,Dinner,No,13.087311204705486,Female
Sat,4.474684005778473,4,Lunch,No,22.11219295019398,Male
Sat,4.710170160771141,2,Lunch,No,7.550841892994674,Female
Sat,8.257834459892816,6,Lunch,No,11.669439335776177,Male
Thur,1.2536302843218996,1,Lunch,Yes,32.917127529036286,Female
Sat,6.084420355883836,1,Lunch,Yes,34.40499545294878,Female
Thur,6.413106761910608,2,Dinner,No,24.920568281997703,Male
Fri,7.0128719883461805,1,Lunch,No,13.00053585567106,Female
Sun,5.831155261122454,4,Dinner,No,29.09797720135257,Female
Fri,4.28370199912227,3,Dinner,Yes,22.548866058510693,Female
Thur,4.935294629051752,1,Dinner,Yes,10.87691621409297,Female
Fri,3.4142426041652882,1,Lunch,Yes,27.820001740594755,Male
Thur,4.8316296086599175,4,Dinner,Yes,33.676202742783715,Female
Fri,5.474982930369017,1,Lunch,Yes,13.485439404630045,Female
Fri,5.031343584582855,3,Lunch,Yes,3.282533691600719,Male
Fri,3.8047633969438373,3,Lunch,Yes,21.720353566634316,Male
Sun,4.204769089248957,6,Lunch,No,11.672495615950707,Female
Thur,7.910936449867845,3,Lunch,No,16.70136392785065,Female
Sat,5.470544697759314,3,Dinner,Yes,20.542406446613914,Female
Sat,5.59668569294101,1,Dinner,Yes,6.074573735125112,Male
Sun,4.654831235926134,3,Lunch,No,13.024222646598805,Male
Sat,7.69759521366495,2,Lunch,No,-5.112162180812469,Male
Sun,5.7960285566496275,2,Dinner,No,44.130785213560884,Female
Sat,2.5615191853785464,3,Lunch,Yes,20.5491576108401,Male
Sat,5.0318613107818,2,Lunch,Yes,22.07602146582875,Male
Sun,6.348148249619939,1,Dinner,Yes,21.28515512336056,Female
Fri,4.704402705300677,3,Lunch,Yes,29.11750010047652,Female
Sat,5.5787903394699505,3,Lunch,Yes,24.670267549521647,Male
Fri,5.035079254954864,3,Lunch,No,35.80611929885741,Female
Fri,7.279348626418241,1,Dinner,Yes,13.866293188376723,Female
Thur,4.2719822055054735,4,Dinner,Yes,20.96881768218495,Male
Fri,6.12974478018449,3,Lunch,Yes,5.2641720445403255,Male
Sat,6.812591426934452,3,Lunch,No,23.77768988071514,Male
Sat,4.879080558692932,6,Dinner,No,20.623053190944017,Male
Thur,3.579940200798555,2,Lunch,No,14.428674178542982,Female
Thur,7.384897643124734,6,Dinner,Yes,20.489870328510847,Male
Sat,4.857373632789868,3,Dinner,Yes,11.123466178769789,Female
Thur,5.923236011574459,4,Lunch,Yes,25.471216356178633,Male
Thur,6.103182415137669,3,Lunch,Yes,21.936013828951843,Female
Sat,5.065067073374489,5,Dinner,No,22.844013940804828,Female
Sat,4.785915526264752,3,Dinner,No,14.068522514506558,Female
Sat,7.260901280457347,4,Lunch,Yes,9.132873778290087,Female
Fri,5.6958429603068605,4,Lunch,No,12.918992418003178,Male
Thur,4.60537341710657,3,Dinner,No,6.861942119085571,Female
Sun,5.3424018123896655,3,Dinner,Yes,10.647084943676733,Male
Thur,6.645063173640969,1,Dinner,Yes,21.182880149231707,Female
Thur,6.315833099241803,4,Dinner,Yes,15.376138304132718,Female
Sun,4.107231352369167,4,Dinner,Yes,5.7715915082863525,Male
Sun,4.441534099106541,4,Lunch,Yes,21.581864242830417,Female
Thur,4.336935879265272,2,Lunch,Yes,18.47023866686159,Male
Sat,3.5136805418679433,3,Dinner,No,17.69905366700514,Male
Fri,6.278407719790937,2,Dinner,No,15.864318992966993,Female
Sat,3.9595220898286176,1,Dinner,Yes,20.469005739711427,Male
Sat,6.2701140218282,2,Lunch,Yes,12.6031826067631,Male
Sun,5.256500193411007,2,Lunch,Yes,20.11944671829724,Female
Fri,5.7614267004261706,6,Lunch,No,19.245755841824636,Female
Fri,3.1270721485405573,2,Dinner,No,16.266995387361472,Female
Sat,6.5666219915908925,2,Dinner,Yes,20.380885482960892,Female
Sun,6.76757533268746,3,Lunch,Yes,23.950935422906728,Male
Sun,4.139203790872211,1,Dinner,No,25.586880582822317,Male
Thur,5.430837928470279,1,Dinner,No,22.752431774803348,Female
Fri,2.478060946399492,3,Dinner,Yes,29.74427666879255,Male
Fri,4.785099437441035,2,Lunch,Yes,19.260079914536124,Female
Fri,5.21805009010918,5,Dinner,No,9.412395021409203,Male
Fri,2.9063187230694454,3,Dinner,Yes,8.03515802204035,Female
Sat,3.3138239894135273,2,Lunch,No,15.688138503409299,Female
Sat,4.9233242154004,1,Lunch,No,27.650574088231707,Female
Sat,4.7636495004211,2,Lunch,Yes,13.728719154872163,Male
Thur,7.255318260886732,5,Dinner,No,9.58872751993883,Female
Thur,6.549022242587029,2,Dinner,Yes,22.19253404485032,Male
Sun,5.95456292443244,3,Dinner,No,17.98320305214328,Male
Sat,3.8429166739760596,6,Dinner,Yes,30.473702498126876,Female
Fri,5.353228886008688,2,Lunch,Yes,13.07163585685619,Male
Fri,5.987437796067454,2,Dinner,Yes,32.37608607342011,Female
Sat,6.2225854442329664,3,Dinner,Yes,12.044213660294389,Female
Sat,5.355648891412422,2,Dinner,Yes,20.445138326818842,Male
Sat,3.0870483700734184,2,Lunch,No,10.79537747220683,Male
Fri,4.150961809480544,2,Lunch,Yes,22.434770182570116,Female
Sun,4.160866391812314,2,Lunch,Yes,14.98233247966595,Male
Thur,7.0990876799686635,1,Lunch,Yes,14.749338862077014,Female
Thur,3.6794361256414057,3,Lunch,Yes,24.712663423212305,Male
Sun,8.187307489216792,6,Lunch,No,29.21931901961571,Female
Sun,3.833186183068103,5,Lunch,No,15.49877085494911,Female
Sat,4.276941200849753,1,Lunch,Yes,16.932697597190902,Male
Fri,5.475647149013937,3,Lunch,Yes,22.989206027966574,Female
Fri,5.497707088242115,2,Lunch,No,10.819361799048169,Male
Sun,3.702237095300241,2,Lunch,No,17.80600128811427,Female
