total_bill,tip,sex,smoker,day,time,size
12.385879932217552,4.16367051912569,Male,No,Fri,Dinner,2
25.6430945262634,2.3422217128411793,Female,No,Sun,Dinner,3
21.52133195673323,6.59357216493484,Male,Yes,Fri,Dinner,2
25.2213074686153,3.352787758531047,Male,Yes,Sun,Lunch,3
34.94891790730661,1.181336923970736,Male,No,Sun,Lunch,4
-0.4356213278172376,0.8643146046816814,Female,Yes,Sun,Dinner,2
16.81192002171529,4.5950986798749796,Female,Yes,Fri,Dinner,2
36.19497524239628,3.1643547137935557,Male,Yes,Fri,Lunch,3
3.399100369041548,3.4044514030195674,Female,Yes,Fri,Dinner,2
10.568891931278605,2.178373769459999,Female,No,Thur,Dinner,3
17.739767542153615,0.6655352069979044,Male,No,Fri,Lunch,2
21.842713846604575,3.826264575451248,Female,Yes,Thur,Lunch,3
12.541532542476684,5.075210294843831,Male,No,Thur,Dinner,3
10.330031948364182,4.778216238448187,Female,Yes,Fri,Dinner,4
16.61960449445948,1.660023172996038,Female,No,Sun,Dinner,2
4.413595099272873,0.3666516003863709,Female,Yes,Fri,Dinner,6
32.54656513427507,3.469090995888199,Male,Yes,Sat,Lunch,2
40.131838309029014,2.6956849199108737,Female,No,Fri,Lunch,4
26.271384362193444,0.02109085255732701,Female,No,Sun,Dinner,4
30.11606718232131,1.6155859354600712,Female,No,Sun,Dinner,1
7.243299806758895,1.6720245386912482,Male,No,Fri,Dinner,4
15.447726042354876,2.624882090711324,Male,No,Thur,Lunch,2
11.17031036110948,2.4240194296939483,Male,Yes,Fri,Dinner,3
20.937034035215007,6.453997057416436,Female,No,Thur,Dinner,3
10.75429201702648,1.6714364153040064,Male,No,Thur,Lunch,6
25.513298061843287,4.5450522720745115,Female,Yes,Thur,Dinner,1
8.000637910140778,3.3451835863194708,Female,Yes,Sat,Lunch,2
20.653944753421406,2.3877030025270143,Female,Yes,Sun,Dinner,2
20.64473114303533,2.98585758645193,Female,Yes,Thur,Dinner,4
19.24065457399431,2.9263482445460283,Female,Yes,Sun,Dinner,4
23.019367449682786,3.734076895905527,Male,No,Sun,Dinner,3
10.465611856642148,4.524245153757315,Female,No,Sun,Dinner,3
21.666595144877146,5.598914746283505,Female,No,Fri,Lunch,4
17.137091624169578,1.844936469528135,Female,No,Sat,Lunch,2
21.35649626898982,1.9908317101791726,Male,Yes,Fri,Dinner,1
17.692687712441604,2.1244167784436128,Male,Yes,Fri,Dinner,2
25.455628472959702,1.7911648716064956,Male,Yes,Thur,Lunch,2
21.59218019413092,4.8717352927212065,Male,Yes,Fri,Lunch,2
3.3430562989126287,0.3228928268735429,Female,No,Thur,Lunch,4
19.779143296474377,0.24816558225820584,Female,No,Sat,Lunch,1
15.308166773066391,4.534912167550235,Male,Yes,Sat,Dinner,2
20.50964909690037,2.5440035022220857,Female,No,Fri,Lunch,1
22.89573342478942,3.2055442759415804,Male,No,Thur,Dinner,1
20.964038474704648,4.775686302878777,Male,Yes,Sat,Dinner,4
25.033236068289284,1.8786856420576366,Female,No,Thur,Dinner,1
24.51868296443,3.514126568109874,Female,Yes,Fri,Dinner,1
17.50719327777228,2.806346141562305,Female,Yes,Fri,Dinner,2
2.2808067272707824,2.2279718630365934,Female,Yes,Sat,Lunch,4
22.19070117963619,3.3340868587411574,Male,No,Thur,Dinner,3
11.903106249889108,1.7172051111811695,Male,No,Fri,Lunch,2
10.878979834627264,0.9222903530528259,Male,Yes,Sun,Lunch,2
